open_datetime,open,high,low,close
2023-02-26 09:00:00,5.066,5.094,5.065,5.092
2023-02-26 10:00:00,5.092,5.115,5.09,5.106
2023-02-26 11:00:00,5.106,5.115,5.092,5.105
2023-02-26 12:00:00,5.109,5.114,5.072,5.078
2023-02-26 13:00:00,5.077,5.099,5.061,5.096
2023-02-26 14:00:00,5.098,5.125,5.094,5.1
2023-02-26 15:00:00,5.099,5.122,5.098,5.113
2023-02-26 16:00:00,5.113,5.127,5.094,5.116
2023-02-26 17:00:00,5.118,5.142,5.087,5.14
2023-02-26 18:00:00,5.139,5.265,5.128,5.255
2023-02-26 19:00:00,5.254,5.265,5.224,5.257
2023-02-26 20:00:00,5.255,5.308,5.245,5.246
2023-02-26 21:00:00,5.246,5.251,5.222,5.238
2023-02-26 22:00:00,5.239,5.249,5.185,5.224
2023-02-26 23:00:00,5.224,5.28,5.222,5.258
2023-02-27 00:00:00,5.257,5.259,5.237,5.244
2023-02-27 01:00:00,5.245,5.247,5.207,5.244
2023-02-27 02:00:00,5.245,5.259,5.23,5.242
2023-02-27 03:00:00,5.243,5.288,5.239,5.25
2023-02-27 04:00:00,5.25,5.257,5.22,5.222
2023-02-27 05:00:00,5.222,5.245,5.202,5.209
2023-02-27 06:00:00,5.209,5.226,5.19,5.204
2023-02-27 07:00:00,5.203,5.219,5.19,5.19
2023-02-27 08:00:00,5.19,5.199,5.157,5.159
2023-02-27 09:00:00,5.157,5.176,5.143,5.155
2023-02-27 10:00:00,5.152,5.157,5.089,5.104
2023-02-27 11:00:00,5.103,5.181,5.103,5.179
2023-02-27 12:00:00,5.178,5.186,5.132,5.141
2023-02-27 13:00:00,5.141,5.233,5.134,5.214
2023-02-27 14:00:00,5.215,5.239,5.202,5.225
2023-02-27 15:00:00,5.225,5.248,5.142,5.166
2023-02-27 16:00:00,5.167,5.181,5.085,5.124
2023-02-27 17:00:00,5.125,5.13,5.091,5.109
2023-02-27 18:00:00,5.108,5.116,4.98,5.013
2023-02-27 19:00:00,5.014,5.042,4.995,5.006
2023-02-27 20:00:00,5.005,5.024,4.974,5.019
2023-02-27 21:00:00,5.02,5.036,4.99,4.992
2023-02-27 22:00:00,4.993,5.04,4.99,5.027
2023-02-27 23:00:00,5.026,5.073,5.021,5.061
2023-02-28 00:00:00,5.061,5.08,5.022,5.041
2023-02-28 01:00:00,5.043,5.061,5.018,5.034
2023-02-28 02:00:00,5.035,5.065,5.011,5.062
2023-02-28 03:00:00,5.063,5.095,5.06,5.085
2023-02-28 04:00:00,5.085,5.093,5.037,5.037
2023-02-28 05:00:00,5.037,5.05,5.024,5.026
2023-02-28 06:00:00,5.026,5.045,5.007,5.018
2023-02-28 07:00:00,5.018,5.027,4.965,4.976
2023-02-28 08:00:00,4.976,4.995,4.961,4.982
