open_datetime,open,high,low,close
2023-02-26 09:00:00,18.04,18.19,18.04,18.16
2023-02-26 10:00:00,18.16,18.19,18.12,18.14
2023-02-26 11:00:00,18.15,18.21,18.11,18.18
2023-02-26 12:00:00,18.18,18.2,18.03,18.05
2023-02-26 13:00:00,18.05,18.14,17.99,18.13
2023-02-26 14:00:00,18.14,18.22,18.09,18.1
2023-02-26 15:00:00,18.1,18.17,18.09,18.16
2023-02-26 16:00:00,18.16,18.18,18.06,18.1
2023-02-26 17:00:00,18.09,18.17,18.03,18.17
2023-02-26 18:00:00,18.17,18.42,18.15,18.38
2023-02-26 19:00:00,18.39,18.5,18.3,18.47
2023-02-26 20:00:00,18.46,18.57,18.41,18.54
2023-02-26 21:00:00,18.54,18.55,18.44,18.44
2023-02-26 22:00:00,18.45,18.45,18.19,18.33
2023-02-26 23:00:00,18.33,18.45,18.32,18.43
2023-02-27 00:00:00,18.44,18.45,18.28,18.35
2023-02-27 01:00:00,18.35,18.36,18.26,18.33
2023-02-27 02:00:00,18.34,18.39,18.29,18.29
2023-02-27 03:00:00,18.29,18.4,18.26,18.27
2023-02-27 04:00:00,18.27,18.3,18.19,18.21
2023-02-27 05:00:00,18.21,18.24,18.06,18.08
2023-02-27 06:00:00,18.09,18.15,18.04,18.08
2023-02-27 07:00:00,18.08,18.19,18.08,18.13
2023-02-27 08:00:00,18.13,18.19,18.02,18.03
2023-02-27 09:00:00,18.02,18.13,17.96,18.1
2023-02-27 10:00:00,18.1,18.13,17.98,18.05
2023-02-27 11:00:00,18.05,18.16,18.04,18.12
2023-02-27 12:00:00,18.12,18.14,18.05,18.06
2023-02-27 13:00:00,18.07,18.5,18.07,18.43
2023-02-27 14:00:00,18.44,18.56,18.42,18.53
2023-02-27 15:00:00,18.54,18.65,18.23,18.32
2023-02-27 16:00:00,18.33,18.39,18.0,18.15
2023-02-27 17:00:00,18.14,18.16,18.01,18.05
2023-02-27 18:00:00,18.04,18.06,17.71,17.87
2023-02-27 19:00:00,17.87,17.93,17.82,17.9
2023-02-27 20:00:00,17.89,17.89,17.75,17.87
2023-02-27 21:00:00,17.87,17.88,17.83,17.84
2023-02-27 22:00:00,17.85,17.96,17.83,17.94
2023-02-27 23:00:00,17.94,17.98,17.9,17.93
2023-02-28 00:00:00,17.93,17.94,17.79,17.81
2023-02-28 01:00:00,17.8,17.84,17.72,17.78
2023-02-28 02:00:00,17.78,17.79,17.67,17.76
2023-02-28 03:00:00,17.76,17.82,17.74,17.81
2023-02-28 04:00:00,17.81,17.82,17.68,17.72
2023-02-28 05:00:00,17.72,17.76,17.61,17.63
2023-02-28 06:00:00,17.64,17.71,17.59,17.68
2023-02-28 07:00:00,17.68,17.69,17.36,17.39
2023-02-28 08:00:00,17.4,17.44,17.31,17.43
