open_datetime,open,high,low,close
2023-02-26 09:00:00,6.589,6.618,6.587,6.611
2023-02-26 10:00:00,6.611,6.614,6.598,6.605
2023-02-26 11:00:00,6.605,6.61,6.578,6.599
2023-02-26 12:00:00,6.599,6.604,6.541,6.552
2023-02-26 13:00:00,6.552,6.577,6.539,6.577
2023-02-26 14:00:00,6.577,6.612,6.561,6.579
2023-02-26 15:00:00,6.578,6.609,6.578,6.605
2023-02-26 16:00:00,6.605,6.613,6.58,6.585
2023-02-26 17:00:00,6.586,6.614,6.562,6.613
2023-02-26 18:00:00,6.614,6.696,6.603,6.683
2023-02-26 19:00:00,6.685,6.704,6.651,6.695
2023-02-26 20:00:00,6.694,6.73,6.685,6.709
2023-02-26 21:00:00,6.709,6.709,6.679,6.691
2023-02-26 22:00:00,6.69,6.691,6.611,6.647
2023-02-26 23:00:00,6.647,6.695,6.638,6.691
2023-02-27 00:00:00,6.692,6.693,6.663,6.673
2023-02-27 01:00:00,6.674,6.676,6.642,6.674
2023-02-27 02:00:00,6.676,6.703,6.67,6.678
2023-02-27 03:00:00,6.679,6.709,6.664,6.668
2023-02-27 04:00:00,6.667,6.67,6.62,6.638
2023-02-27 05:00:00,6.639,6.644,6.593,6.604
2023-02-27 06:00:00,6.605,6.626,6.587,6.613
2023-02-27 07:00:00,6.614,6.632,6.609,6.612
2023-02-27 08:00:00,6.611,6.627,6.566,6.567
2023-02-27 09:00:00,6.568,6.602,6.546,6.59
2023-02-27 10:00:00,6.589,6.594,6.545,6.564
2023-02-27 11:00:00,6.565,6.613,6.564,6.606
2023-02-27 12:00:00,6.605,6.617,6.572,6.594
2023-02-27 13:00:00,6.594,6.731,6.592,6.719
2023-02-27 14:00:00,6.718,6.749,6.7,6.737
2023-02-27 15:00:00,6.737,6.785,6.658,6.691
2023-02-27 16:00:00,6.692,6.705,6.595,6.647
2023-02-27 17:00:00,6.646,6.646,6.587,6.607
2023-02-27 18:00:00,6.607,6.616,6.491,6.527
2023-02-27 19:00:00,6.527,6.56,6.506,6.526
2023-02-27 20:00:00,6.524,6.548,6.489,6.546
2023-02-27 21:00:00,6.546,6.561,6.538,6.549
2023-02-27 22:00:00,6.55,6.586,6.535,6.571
2023-02-27 23:00:00,6.573,6.611,6.566,6.579
2023-02-28 00:00:00,6.58,6.6,6.546,6.552
2023-02-28 01:00:00,6.553,6.57,6.53,6.55
2023-02-28 02:00:00,6.552,6.555,6.524,6.547
2023-02-28 03:00:00,6.548,6.592,6.545,6.584
2023-02-28 04:00:00,6.584,6.589,6.535,6.553
2023-02-28 05:00:00,6.553,6.568,6.532,6.537
2023-02-28 06:00:00,6.538,6.554,6.523,6.534
2023-02-28 07:00:00,6.533,6.538,6.44,6.446
2023-02-28 08:00:00,6.446,6.467,6.425,6.453
