open_datetime,open,high,low,close
2023-02-26 09:00:00,21.19,21.27,21.18,21.27
2023-02-26 10:00:00,21.25,21.27,21.2,21.21
2023-02-26 11:00:00,21.22,21.24,21.17,21.23
2023-02-26 12:00:00,21.22,21.23,21.08,21.11
2023-02-26 13:00:00,21.11,21.19,21.06,21.18
2023-02-26 14:00:00,21.18,21.26,21.12,21.12
2023-02-26 15:00:00,21.13,21.18,21.12,21.18
2023-02-26 16:00:00,21.18,21.21,21.1,21.12
2023-02-26 17:00:00,21.12,21.2,21.06,21.2
2023-02-26 18:00:00,21.21,21.45,21.18,21.43
2023-02-26 19:00:00,21.43,21.5,21.33,21.46
2023-02-26 20:00:00,21.45,21.55,21.42,21.52
2023-02-26 21:00:00,21.52,21.54,21.46,21.47
2023-02-26 22:00:00,21.46,21.47,21.24,21.35
2023-02-26 23:00:00,21.34,21.45,21.34,21.41
2023-02-27 00:00:00,21.41,21.44,21.29,21.31
2023-02-27 01:00:00,21.31,21.35,21.22,21.34
2023-02-27 02:00:00,21.33,21.44,21.31,21.34
2023-02-27 03:00:00,21.34,21.42,21.31,21.32
2023-02-27 04:00:00,21.32,21.35,21.2,21.22
2023-02-27 05:00:00,21.22,21.29,21.12,21.15
2023-02-27 06:00:00,21.15,21.2,21.11,21.16
2023-02-27 07:00:00,21.16,21.26,21.15,21.17
2023-02-27 08:00:00,21.17,21.22,21.07,21.11
2023-02-27 09:00:00,21.11,21.21,21.07,21.17
2023-02-27 10:00:00,21.17,21.19,21.04,21.09
2023-02-27 11:00:00,21.09,21.23,21.08,21.2
2023-02-27 12:00:00,21.2,21.22,21.09,21.12
2023-02-27 13:00:00,21.11,21.54,21.1,21.44
2023-02-27 14:00:00,21.44,21.56,21.4,21.53
2023-02-27 15:00:00,21.53,21.61,21.26,21.39
2023-02-27 16:00:00,21.41,21.42,21.07,21.19
2023-02-27 17:00:00,21.19,21.2,21.02,21.06
2023-02-27 18:00:00,21.06,21.1,20.82,20.96
2023-02-27 19:00:00,20.96,21.05,20.93,21.01
2023-02-27 20:00:00,20.99,21.06,20.89,21.05
2023-02-27 21:00:00,21.05,21.11,21.03,21.1
2023-02-27 22:00:00,21.1,21.23,21.08,21.18
2023-02-27 23:00:00,21.18,21.36,21.18,21.31
2023-02-28 00:00:00,21.3,21.36,21.23,21.3
2023-02-28 01:00:00,21.3,21.36,21.23,21.32
2023-02-28 02:00:00,21.33,21.48,21.24,21.47
2023-02-28 03:00:00,21.47,21.48,21.41,21.44
2023-02-28 04:00:00,21.45,21.46,21.3,21.34
2023-02-28 05:00:00,21.34,21.4,21.31,21.33
2023-02-28 06:00:00,21.33,21.39,21.3,21.32
2023-02-28 07:00:00,21.32,21.34,21.11,21.11
2023-02-28 08:00:00,21.11,21.18,21.03,21.12
