open_datetime,open,high,low,close
2023-02-26 09:00:00,6.741,6.797,6.737,6.795
2023-02-26 10:00:00,6.795,6.795,6.753,6.782
2023-02-26 11:00:00,6.782,6.784,6.712,6.753
2023-02-26 12:00:00,6.754,6.754,6.654,6.682
2023-02-26 13:00:00,6.682,6.742,6.665,6.738
2023-02-26 14:00:00,6.738,6.828,6.721,6.753
2023-02-26 15:00:00,6.75,6.774,6.715,6.741
2023-02-26 16:00:00,6.739,6.831,6.702,6.761
2023-02-26 17:00:00,6.762,6.785,6.674,6.783
2023-02-26 18:00:00,6.782,6.909,6.769,6.897
2023-02-26 19:00:00,6.9,7.0,6.867,6.967
2023-02-26 20:00:00,6.968,6.983,6.911,6.917
2023-02-26 21:00:00,6.917,6.92,6.855,6.857
2023-02-26 22:00:00,6.858,6.868,6.741,6.821
2023-02-26 23:00:00,6.819,6.929,6.813,6.906
2023-02-27 00:00:00,6.905,6.91,6.794,6.828
2023-02-27 01:00:00,6.829,6.86,6.793,6.858
2023-02-27 02:00:00,6.856,6.896,6.841,6.873
2023-02-27 03:00:00,6.873,6.941,6.814,6.817
2023-02-27 04:00:00,6.817,6.827,6.773,6.79
2023-02-27 05:00:00,6.79,6.82,6.71,6.74
2023-02-27 06:00:00,6.741,6.788,6.721,6.752
2023-02-27 07:00:00,6.752,6.805,6.733,6.738
2023-02-27 08:00:00,6.737,6.76,6.683,6.708
2023-02-27 09:00:00,6.705,6.76,6.687,6.752
2023-02-27 10:00:00,6.751,6.777,6.7,6.736
2023-02-27 11:00:00,6.738,6.837,6.734,6.818
2023-02-27 12:00:00,6.822,6.887,6.785,6.798
2023-02-27 13:00:00,6.799,6.946,6.798,6.937
2023-02-27 14:00:00,6.939,7.002,6.895,6.937
2023-02-27 15:00:00,6.938,7.274,6.927,7.008
2023-02-27 16:00:00,7.01,7.087,6.846,6.919
2023-02-27 17:00:00,6.915,6.919,6.807,6.84
2023-02-27 18:00:00,6.842,6.858,6.668,6.75
2023-02-27 19:00:00,6.75,6.783,6.694,6.719
2023-02-27 20:00:00,6.718,6.759,6.668,6.756
2023-02-27 21:00:00,6.757,6.807,6.744,6.787
2023-02-27 22:00:00,6.788,6.847,6.77,6.824
2023-02-27 23:00:00,6.824,6.897,6.821,6.851
2023-02-28 00:00:00,6.853,6.881,6.811,6.814
2023-02-28 01:00:00,6.814,6.85,6.776,6.825
2023-02-28 02:00:00,6.826,6.84,6.785,6.837
2023-02-28 03:00:00,6.838,6.866,6.821,6.848
2023-02-28 04:00:00,6.847,6.848,6.765,6.791
2023-02-28 05:00:00,6.79,6.838,6.777,6.811
2023-02-28 06:00:00,6.814,6.838,6.795,6.805
2023-02-28 07:00:00,6.802,6.813,6.692,6.701
2023-02-28 08:00:00,6.7,6.73,6.682,6.704
