open_datetime,open,high,low,close
2023-02-24 12:00:00,0.0811,0.0812,0.0808,0.0809
2023-02-24 13:00:00,0.0808,0.0808,0.0792,0.0793
2023-02-24 14:00:00,0.0793,0.0796,0.0788,0.0791
2023-02-24 15:00:00,0.0791,0.0792,0.075,0.0767
2023-02-24 16:00:00,0.0767,0.0779,0.0753,0.0769
2023-02-24 17:00:00,0.0769,0.0775,0.0766,0.0772
2023-02-24 18:00:00,0.0772,0.0776,0.077,0.0771
2023-02-24 19:00:00,0.0771,0.0775,0.0764,0.0774
2023-02-24 20:00:00,0.0774,0.0781,0.0773,0.0776
2023-02-24 21:00:00,0.0775,0.0777,0.0766,0.077
2023-02-24 22:00:00,0.0769,0.077,0.0759,0.0764
2023-02-24 23:00:00,0.0764,0.0772,0.0763,0.0771
2023-02-25 00:00:00,0.0772,0.0778,0.077,0.0777
2023-02-25 01:00:00,0.0778,0.078,0.0775,0.0777
2023-02-25 02:00:00,0.0777,0.0778,0.077,0.0773
2023-02-25 03:00:00,0.0773,0.0775,0.0768,0.0768
2023-02-25 04:00:00,0.0769,0.0771,0.0766,0.0768
2023-02-25 05:00:00,0.0768,0.0769,0.076,0.0761
2023-02-25 06:00:00,0.0762,0.077,0.0761,0.0769
2023-02-25 07:00:00,0.077,0.0772,0.0768,0.0771
2023-02-25 08:00:00,0.0772,0.0775,0.0771,0.0773
2023-02-25 09:00:00,0.0773,0.0774,0.0766,0.0769
2023-02-25 10:00:00,0.0768,0.077,0.076,0.0761
2023-02-25 11:00:00,0.0761,0.0764,0.076,0.0762
2023-02-25 12:00:00,0.0763,0.0763,0.0748,0.0759
2023-02-25 13:00:00,0.0758,0.0762,0.0755,0.0758
2023-02-25 14:00:00,0.0757,0.0761,0.0754,0.0756
2023-02-25 15:00:00,0.0756,0.076,0.0753,0.0756
2023-02-25 16:00:00,0.0756,0.0762,0.0752,0.0754
2023-02-25 17:00:00,0.0754,0.0756,0.0748,0.0748
2023-02-25 18:00:00,0.0749,0.075,0.0736,0.0738
2023-02-25 19:00:00,0.0738,0.0742,0.0728,0.0732
2023-02-25 20:00:00,0.0733,0.0736,0.0721,0.0729
2023-02-25 21:00:00,0.073,0.0734,0.0724,0.0733
2023-02-25 22:00:00,0.0732,0.0747,0.0729,0.0745
2023-02-25 23:00:00,0.0744,0.0751,0.0742,0.075
2023-02-26 00:00:00,0.075,0.0751,0.0746,0.0748
2023-02-26 01:00:00,0.0747,0.0753,0.0747,0.0751
2023-02-26 02:00:00,0.0751,0.0757,0.0749,0.0757
2023-02-26 03:00:00,0.0756,0.0762,0.0756,0.0757
2023-02-26 04:00:00,0.0757,0.0759,0.075,0.0751
2023-02-26 05:00:00,0.0752,0.0754,0.075,0.075
2023-02-26 06:00:00,0.075,0.0751,0.0745,0.0749
2023-02-26 07:00:00,0.0749,0.0753,0.0748,0.0751
2023-02-26 08:00:00,0.0751,0.0752,0.0744,0.0748
2023-02-26 09:00:00,0.0747,0.0755,0.0747,0.0755
2023-02-26 10:00:00,0.0754,0.0756,0.0751,0.0752
2023-02-26 11:00:00,0.0751,0.0753,0.0748,0.0749
