open_datetime,open,high,low,close
2023-02-26 09:00:00,2.996,3.038,2.996,3.013
2023-02-26 10:00:00,3.014,3.078,2.996,3.044
2023-02-26 11:00:00,3.044,3.071,3.024,3.056
2023-02-26 12:00:00,3.055,3.089,3.025,3.035
2023-02-26 13:00:00,3.035,3.055,3.016,3.044
2023-02-26 14:00:00,3.044,3.088,3.036,3.073
2023-02-26 15:00:00,3.073,3.12,3.057,3.058
2023-02-26 16:00:00,3.059,3.099,3.04,3.057
2023-02-26 17:00:00,3.058,3.092,3.031,3.084
2023-02-26 18:00:00,3.084,3.149,3.084,3.141
2023-02-26 19:00:00,3.141,3.177,3.13,3.151
2023-02-26 20:00:00,3.149,3.179,3.134,3.164
2023-02-26 21:00:00,3.163,3.17,3.127,3.162
2023-02-26 22:00:00,3.163,3.164,3.085,3.102
2023-02-26 23:00:00,3.102,3.134,3.092,3.12
2023-02-27 00:00:00,3.122,3.123,3.071,3.099
2023-02-27 01:00:00,3.099,3.104,3.064,3.09
2023-02-27 02:00:00,3.092,3.115,3.053,3.09
2023-02-27 03:00:00,3.091,3.109,3.075,3.075
2023-02-27 04:00:00,3.076,3.097,3.052,3.085
2023-02-27 05:00:00,3.085,3.116,3.08,3.107
2023-02-27 06:00:00,3.107,3.113,3.072,3.074
2023-02-27 07:00:00,3.073,3.101,3.057,3.088
2023-02-27 08:00:00,3.089,3.105,3.017,3.021
2023-02-27 09:00:00,3.021,3.039,3.008,3.014
2023-02-27 10:00:00,3.013,3.025,2.976,2.994
2023-02-27 11:00:00,2.996,3.128,2.992,3.101
2023-02-27 12:00:00,3.099,3.12,3.076,3.101
2023-02-27 13:00:00,3.1,3.204,3.092,3.162
2023-02-27 14:00:00,3.163,3.266,3.142,3.253
2023-02-27 15:00:00,3.253,3.296,3.209,3.227
2023-02-27 16:00:00,3.228,3.283,3.18,3.254
2023-02-27 17:00:00,3.255,3.255,3.188,3.24
2023-02-27 18:00:00,3.241,3.254,3.148,3.207
2023-02-27 19:00:00,3.205,3.243,3.175,3.209
2023-02-27 20:00:00,3.209,3.209,3.143,3.19
2023-02-27 21:00:00,3.19,3.265,3.188,3.262
2023-02-27 22:00:00,3.262,3.272,3.21,3.242
2023-02-27 23:00:00,3.242,3.299,3.215,3.268
2023-02-28 00:00:00,3.268,3.268,3.192,3.198
2023-02-28 01:00:00,3.199,3.238,3.179,3.188
2023-02-28 02:00:00,3.189,3.229,3.169,3.204
2023-02-28 03:00:00,3.203,3.207,3.175,3.185
2023-02-28 04:00:00,3.185,3.201,3.155,3.196
2023-02-28 05:00:00,3.195,3.221,3.177,3.182
2023-02-28 06:00:00,3.182,3.19,3.107,3.135
2023-02-28 07:00:00,3.135,3.153,3.08,3.087
2023-02-28 08:00:00,3.087,3.133,3.087,3.126
