open_datetime,open,high,low,close
2023-02-24 12:00:00,7.885,7.923,7.82,7.838
2023-02-24 13:00:00,7.837,7.866,7.788,7.805
2023-02-24 14:00:00,7.805,7.818,7.721,7.752
2023-02-24 15:00:00,7.751,7.763,7.542,7.592
2023-02-24 16:00:00,7.591,7.595,7.417,7.514
2023-02-24 17:00:00,7.513,7.584,7.5,7.554
2023-02-24 18:00:00,7.553,7.59,7.515,7.585
2023-02-24 19:00:00,7.586,7.7,7.556,7.677
2023-02-24 20:00:00,7.677,7.724,7.578,7.602
2023-02-24 21:00:00,7.602,7.682,7.559,7.64
2023-02-24 22:00:00,7.64,7.671,7.22,7.36
2023-02-24 23:00:00,7.36,7.469,7.342,7.466
2023-02-25 00:00:00,7.466,7.491,7.361,7.397
2023-02-25 01:00:00,7.398,7.478,7.395,7.467
2023-02-25 02:00:00,7.467,7.478,7.385,7.41
2023-02-25 03:00:00,7.412,7.441,7.379,7.383
2023-02-25 04:00:00,7.384,7.422,7.366,7.39
2023-02-25 05:00:00,7.39,7.406,7.314,7.32
2023-02-25 06:00:00,7.321,7.414,7.321,7.412
2023-02-25 07:00:00,7.412,7.419,7.376,7.407
2023-02-25 08:00:00,7.407,7.438,7.396,7.41
2023-02-25 09:00:00,7.411,7.413,7.356,7.378
2023-02-25 10:00:00,7.378,7.404,7.337,7.362
2023-02-25 11:00:00,7.362,7.419,7.357,7.37
2023-02-25 12:00:00,7.369,7.372,7.25,7.354
2023-02-25 13:00:00,7.352,7.367,7.309,7.329
2023-02-25 14:00:00,7.33,7.371,7.33,7.338
2023-02-25 15:00:00,7.338,7.364,7.321,7.349
2023-02-25 16:00:00,7.348,7.401,7.328,7.34
2023-02-25 17:00:00,7.338,7.378,7.324,7.33
2023-02-25 18:00:00,7.33,7.335,7.204,7.251
2023-02-25 19:00:00,7.251,7.332,7.219,7.322
2023-02-25 20:00:00,7.321,7.332,7.168,7.259
2023-02-25 21:00:00,7.26,7.282,7.178,7.278
2023-02-25 22:00:00,7.279,7.359,7.269,7.352
2023-02-25 23:00:00,7.352,7.394,7.343,7.373
2023-02-26 00:00:00,7.371,7.376,7.315,7.324
2023-02-26 01:00:00,7.324,7.344,7.293,7.335
2023-02-26 02:00:00,7.335,7.394,7.297,7.385
2023-02-26 03:00:00,7.385,7.422,7.372,7.417
2023-02-26 04:00:00,7.417,7.419,7.369,7.376
2023-02-26 05:00:00,7.376,7.399,7.371,7.372
2023-02-26 06:00:00,7.371,7.4,7.352,7.4
2023-02-26 07:00:00,7.399,7.43,7.386,7.404
2023-02-26 08:00:00,7.404,7.423,7.366,7.408
2023-02-26 09:00:00,7.409,7.44,7.402,7.417
2023-02-26 10:00:00,7.416,7.437,7.403,7.416
2023-02-26 11:00:00,7.416,7.428,7.404,7.406
