open_datetime,open,high,low,close
2023-02-26 09:00:00,93.83,94.05,93.74,93.85
2023-02-26 10:00:00,93.84,94.21,93.78,93.95
2023-02-26 11:00:00,93.95,94.13,93.87,93.87
2023-02-26 12:00:00,93.89,94.08,93.76,94.06
2023-02-26 13:00:00,94.03,94.37,93.77,94.01
2023-02-26 14:00:00,94.01,94.3,93.85,93.9
2023-02-26 15:00:00,93.9,94.06,93.66,94.01
2023-02-26 16:00:00,94.02,94.2,93.74,93.82
2023-02-26 17:00:00,93.81,94.09,93.66,94.09
2023-02-26 18:00:00,94.08,95.23,94.05,95.09
2023-02-26 19:00:00,95.09,95.3,94.76,95.12
2023-02-26 20:00:00,95.12,95.54,95.0,95.42
2023-02-26 21:00:00,95.43,95.43,95.05,95.12
2023-02-26 22:00:00,95.12,95.3,94.08,94.77
2023-02-26 23:00:00,94.77,95.34,94.72,95.27
2023-02-27 00:00:00,95.26,95.32,94.75,94.82
2023-02-27 01:00:00,94.83,95.44,94.53,95.44
2023-02-27 02:00:00,95.44,95.74,95.1,95.12
2023-02-27 03:00:00,95.13,95.39,94.82,94.87
2023-02-27 04:00:00,94.85,94.88,94.46,94.62
2023-02-27 05:00:00,94.62,94.81,94.17,94.37
2023-02-27 06:00:00,94.37,94.59,94.13,94.59
2023-02-27 07:00:00,94.59,94.73,94.27,94.3
2023-02-27 08:00:00,94.31,94.52,93.86,93.93
2023-02-27 09:00:00,93.91,94.43,93.74,94.31
2023-02-27 10:00:00,94.3,94.48,93.94,94.2
2023-02-27 11:00:00,94.19,94.52,94.19,94.52
2023-02-27 12:00:00,94.51,94.72,94.35,94.42
2023-02-27 13:00:00,94.41,95.83,94.4,95.83
2023-02-27 14:00:00,95.82,96.09,95.48,95.68
2023-02-27 15:00:00,95.67,95.94,94.31,94.63
2023-02-27 16:00:00,94.63,94.85,93.3,94.09
2023-02-27 17:00:00,94.09,94.13,93.5,93.69
2023-02-27 18:00:00,93.67,93.74,92.4,93.16
2023-02-27 19:00:00,93.15,93.39,92.9,93.17
2023-02-27 20:00:00,93.17,93.5,92.62,93.44
2023-02-27 21:00:00,93.44,93.68,93.37,93.52
2023-02-27 22:00:00,93.51,93.96,93.4,93.76
2023-02-27 23:00:00,93.77,94.15,93.68,94.07
2023-02-28 00:00:00,94.07,94.23,93.77,94.07
2023-02-28 01:00:00,94.07,94.38,94.0,94.37
2023-02-28 02:00:00,94.36,94.71,94.27,94.45
2023-02-28 03:00:00,94.45,94.55,94.14,94.3
2023-02-28 04:00:00,94.3,94.37,93.75,94.04
2023-02-28 05:00:00,94.03,94.12,93.8,93.82
2023-02-28 06:00:00,93.82,94.0,93.76,93.9
2023-02-28 07:00:00,93.9,94.0,93.35,93.37
2023-02-28 08:00:00,93.37,93.65,93.02,93.59
