open_datetime,open,high,low,close
2023-02-26 09:00:00,1.2658,1.2756,1.2657,1.2747
2023-02-26 10:00:00,1.2747,1.2768,1.2702,1.2767
2023-02-26 11:00:00,1.2767,1.2822,1.2735,1.2804
2023-02-26 12:00:00,1.2805,1.2843,1.2632,1.2669
2023-02-26 13:00:00,1.2668,1.2747,1.2631,1.2746
2023-02-26 14:00:00,1.2746,1.2818,1.2675,1.2689
2023-02-26 15:00:00,1.2688,1.2767,1.2687,1.2764
2023-02-26 16:00:00,1.2764,1.278,1.267,1.2683
2023-02-26 17:00:00,1.2683,1.2683,1.2524,1.2669
2023-02-26 18:00:00,1.2666,1.2838,1.2623,1.2785
2023-02-26 19:00:00,1.2787,1.2904,1.2705,1.2877
2023-02-26 20:00:00,1.2877,1.3,1.2849,1.2928
2023-02-26 21:00:00,1.2927,1.2939,1.2834,1.2835
2023-02-26 22:00:00,1.2835,1.2858,1.2651,1.2724
2023-02-26 23:00:00,1.2724,1.283,1.2714,1.2817
2023-02-27 00:00:00,1.2817,1.2817,1.2683,1.272
2023-02-27 01:00:00,1.272,1.2795,1.2666,1.2777
2023-02-27 02:00:00,1.2778,1.2863,1.2778,1.2792
2023-02-27 03:00:00,1.2793,1.2846,1.2749,1.2778
2023-02-27 04:00:00,1.2778,1.2793,1.2661,1.2686
2023-02-27 05:00:00,1.2686,1.2707,1.2565,1.2584
2023-02-27 06:00:00,1.2586,1.263,1.2562,1.2594
2023-02-27 07:00:00,1.2593,1.2645,1.2565,1.2567
2023-02-27 08:00:00,1.2566,1.2614,1.248,1.2503
2023-02-27 09:00:00,1.2503,1.254,1.2426,1.2481
2023-02-27 10:00:00,1.2481,1.2505,1.234,1.2367
2023-02-27 11:00:00,1.2367,1.2564,1.2361,1.2517
2023-02-27 12:00:00,1.2516,1.2536,1.2355,1.2375
2023-02-27 13:00:00,1.2374,1.2779,1.2362,1.2708
2023-02-27 14:00:00,1.2708,1.2825,1.2678,1.2793
2023-02-27 15:00:00,1.2792,1.2874,1.2581,1.2644
2023-02-27 16:00:00,1.2649,1.2696,1.2388,1.2496
2023-02-27 17:00:00,1.2495,1.2505,1.2346,1.24
2023-02-27 18:00:00,1.2399,1.2413,1.2164,1.2258
2023-02-27 19:00:00,1.2258,1.2352,1.2203,1.2291
2023-02-27 20:00:00,1.229,1.229,1.2135,1.2246
2023-02-27 21:00:00,1.2245,1.2323,1.2224,1.2315
2023-02-27 22:00:00,1.2315,1.2373,1.225,1.2336
2023-02-27 23:00:00,1.2335,1.2387,1.2311,1.2345
2023-02-28 00:00:00,1.2346,1.2369,1.2241,1.2264
2023-02-28 01:00:00,1.2264,1.2318,1.2179,1.2242
2023-02-28 02:00:00,1.2242,1.2283,1.2188,1.2257
2023-02-28 03:00:00,1.2257,1.2346,1.2242,1.2323
2023-02-28 04:00:00,1.2325,1.2329,1.2195,1.2237
2023-02-28 05:00:00,1.2237,1.2321,1.2221,1.2278
2023-02-28 06:00:00,1.2279,1.2351,1.226,1.2326
2023-02-28 07:00:00,1.2327,1.2333,1.2158,1.2176
2023-02-28 08:00:00,1.2178,1.2228,1.2136,1.2192
