open_datetime,open,high,low,close
2023-02-26 09:00:00,2.312,2.325,2.309,2.324
2023-02-26 10:00:00,2.324,2.333,2.318,2.322
2023-02-26 11:00:00,2.322,2.325,2.311,2.324
2023-02-26 12:00:00,2.323,2.324,2.301,2.305
2023-02-26 13:00:00,2.302,2.316,2.302,2.314
2023-02-26 14:00:00,2.315,2.344,2.313,2.324
2023-02-26 15:00:00,2.323,2.34,2.323,2.337
2023-02-26 16:00:00,2.337,2.34,2.32,2.323
2023-02-26 17:00:00,2.323,2.333,2.31,2.333
2023-02-26 18:00:00,2.333,2.364,2.328,2.361
2023-02-26 19:00:00,2.361,2.374,2.35,2.372
2023-02-26 20:00:00,2.372,2.386,2.368,2.381
2023-02-26 21:00:00,2.381,2.384,2.371,2.372
2023-02-26 22:00:00,2.372,2.375,2.339,2.353
2023-02-26 23:00:00,2.352,2.38,2.35,2.376
2023-02-27 00:00:00,2.375,2.376,2.354,2.361
2023-02-27 01:00:00,2.362,2.362,2.347,2.358
2023-02-27 02:00:00,2.359,2.368,2.352,2.355
2023-02-27 03:00:00,2.356,2.368,2.349,2.351
2023-02-27 04:00:00,2.351,2.355,2.332,2.338
2023-02-27 05:00:00,2.338,2.345,2.319,2.328
2023-02-27 06:00:00,2.327,2.336,2.321,2.332
2023-02-27 07:00:00,2.332,2.341,2.326,2.327
2023-02-27 08:00:00,2.326,2.334,2.308,2.315
2023-02-27 09:00:00,2.314,2.325,2.3,2.322
2023-02-27 10:00:00,2.322,2.328,2.305,2.315
2023-02-27 11:00:00,2.315,2.335,2.314,2.332
2023-02-27 12:00:00,2.331,2.335,2.313,2.317
2023-02-27 13:00:00,2.318,2.382,2.317,2.371
2023-02-27 14:00:00,2.371,2.397,2.371,2.394
2023-02-27 15:00:00,2.394,2.434,2.367,2.384
2023-02-27 16:00:00,2.384,2.392,2.339,2.362
2023-02-27 17:00:00,2.362,2.363,2.331,2.341
2023-02-27 18:00:00,2.341,2.346,2.285,2.307
2023-02-27 19:00:00,2.307,2.318,2.301,2.31
2023-02-27 20:00:00,2.309,2.31,2.291,2.309
2023-02-27 21:00:00,2.309,2.323,2.306,2.323
2023-02-27 22:00:00,2.322,2.346,2.32,2.338
2023-02-27 23:00:00,2.34,2.352,2.337,2.346
2023-02-28 00:00:00,2.346,2.356,2.332,2.338
2023-02-28 01:00:00,2.338,2.346,2.318,2.332
2023-02-28 02:00:00,2.333,2.336,2.319,2.333
2023-02-28 03:00:00,2.334,2.344,2.332,2.341
2023-02-28 04:00:00,2.341,2.343,2.319,2.323
2023-02-28 05:00:00,2.322,2.328,2.279,2.301
2023-02-28 06:00:00,2.3,2.313,2.29,2.294
2023-02-28 07:00:00,2.293,2.296,2.249,2.255
2023-02-28 08:00:00,2.254,2.264,2.244,2.253
