open_datetime,open,high,low,close
2023-02-26 09:00:00,22.76,22.97,22.76,22.96
2023-02-26 10:00:00,22.96,22.99,22.8,22.84
2023-02-26 11:00:00,22.84,22.91,22.74,22.85
2023-02-26 12:00:00,22.85,22.89,22.55,22.63
2023-02-26 13:00:00,22.63,22.8,22.58,22.8
2023-02-26 14:00:00,22.8,22.97,22.77,22.83
2023-02-26 15:00:00,22.83,22.96,22.83,22.93
2023-02-26 16:00:00,22.94,22.99,22.76,22.8
2023-02-26 17:00:00,22.8,22.9,22.68,22.89
2023-02-26 18:00:00,22.9,23.33,22.84,23.25
2023-02-26 19:00:00,23.25,23.4,23.09,23.37
2023-02-26 20:00:00,23.37,23.53,23.31,23.41
2023-02-26 21:00:00,23.41,23.45,23.25,23.26
2023-02-26 22:00:00,23.27,23.29,22.94,23.06
2023-02-26 23:00:00,23.06,23.32,23.06,23.25
2023-02-27 00:00:00,23.25,23.28,23.03,23.12
2023-02-27 01:00:00,23.12,23.13,22.98,23.08
2023-02-27 02:00:00,23.08,23.21,23.0,23.03
2023-02-27 03:00:00,23.04,23.15,22.99,23.03
2023-02-27 04:00:00,23.04,23.05,22.9,22.99
2023-02-27 05:00:00,22.99,23.04,22.76,22.82
2023-02-27 06:00:00,22.81,22.91,22.77,22.85
2023-02-27 07:00:00,22.86,23.02,22.84,22.89
2023-02-27 08:00:00,22.89,22.97,22.7,22.7
2023-02-27 09:00:00,22.69,22.85,22.62,22.79
2023-02-27 10:00:00,22.78,22.86,22.64,22.7
2023-02-27 11:00:00,22.7,22.85,22.69,22.77
2023-02-27 12:00:00,22.78,22.8,22.65,22.72
2023-02-27 13:00:00,22.72,23.33,22.69,23.2
2023-02-27 14:00:00,23.19,23.32,23.13,23.23
2023-02-27 15:00:00,23.24,23.41,22.87,23.06
2023-02-27 16:00:00,23.07,23.14,22.67,22.88
2023-02-27 17:00:00,22.88,22.9,22.65,22.73
2023-02-27 18:00:00,22.73,22.76,22.32,22.57
2023-02-27 19:00:00,22.56,22.64,22.46,22.54
2023-02-27 20:00:00,22.54,22.58,22.36,22.56
2023-02-27 21:00:00,22.57,22.72,22.55,22.71
2023-02-27 22:00:00,22.7,22.79,22.58,22.7
2023-02-27 23:00:00,22.71,22.75,22.61,22.68
2023-02-28 00:00:00,22.68,22.75,22.58,22.63
2023-02-28 01:00:00,22.63,22.68,22.43,22.54
2023-02-28 02:00:00,22.54,22.55,22.42,22.51
2023-02-28 03:00:00,22.51,22.66,22.46,22.61
2023-02-28 04:00:00,22.62,22.63,22.35,22.41
2023-02-28 05:00:00,22.41,22.48,22.24,22.27
2023-02-28 06:00:00,22.28,22.37,22.22,22.33
2023-02-28 07:00:00,22.34,22.37,22.06,22.08
2023-02-28 08:00:00,22.08,22.2,22.05,22.16
