open_datetime,open,high,low,close
2023-02-26 09:00:00,6.535,6.558,6.535,6.555
2023-02-26 10:00:00,6.554,6.554,6.529,6.54
2023-02-26 11:00:00,6.543,6.545,6.515,6.541
2023-02-26 12:00:00,6.541,6.542,6.5,6.505
2023-02-26 13:00:00,6.506,6.529,6.489,6.523
2023-02-26 14:00:00,6.524,6.563,6.516,6.528
2023-02-26 15:00:00,6.527,6.548,6.527,6.544
2023-02-26 16:00:00,6.545,6.553,6.519,6.523
2023-02-26 17:00:00,6.522,6.538,6.496,6.536
2023-02-26 18:00:00,6.536,6.614,6.536,6.604
2023-02-26 19:00:00,6.605,6.62,6.574,6.608
2023-02-26 20:00:00,6.608,6.655,6.604,6.636
2023-02-26 21:00:00,6.635,6.635,6.605,6.607
2023-02-26 22:00:00,6.607,6.608,6.533,6.566
2023-02-26 23:00:00,6.565,6.61,6.561,6.61
2023-02-27 00:00:00,6.607,6.611,6.568,6.589
2023-02-27 01:00:00,6.59,6.602,6.564,6.598
2023-02-27 02:00:00,6.6,6.621,6.578,6.584
2023-02-27 03:00:00,6.586,6.606,6.572,6.575
2023-02-27 04:00:00,6.575,6.584,6.543,6.546
2023-02-27 05:00:00,6.547,6.551,6.509,6.519
2023-02-27 06:00:00,6.519,6.543,6.509,6.531
2023-02-27 07:00:00,6.531,6.549,6.519,6.519
2023-02-27 08:00:00,6.521,6.538,6.466,6.469
2023-02-27 09:00:00,6.468,6.514,6.463,6.507
2023-02-27 10:00:00,6.507,6.515,6.467,6.488
2023-02-27 11:00:00,6.487,6.522,6.487,6.509
2023-02-27 12:00:00,6.51,6.518,6.48,6.487
2023-02-27 13:00:00,6.489,6.624,6.485,6.596
2023-02-27 14:00:00,6.596,6.644,6.586,6.609
2023-02-27 15:00:00,6.609,6.646,6.54,6.576
2023-02-27 16:00:00,6.578,6.589,6.484,6.539
2023-02-27 17:00:00,6.536,6.536,6.486,6.494
2023-02-27 18:00:00,6.492,6.499,6.381,6.415
2023-02-27 19:00:00,6.416,6.44,6.4,6.422
2023-02-27 20:00:00,6.42,6.42,6.373,6.404
2023-02-27 21:00:00,6.405,6.421,6.403,6.414
2023-02-27 22:00:00,6.413,6.444,6.397,6.437
2023-02-27 23:00:00,6.439,6.456,6.429,6.439
2023-02-28 00:00:00,6.439,6.451,6.406,6.434
2023-02-28 01:00:00,6.433,6.462,6.422,6.454
2023-02-28 02:00:00,6.455,6.464,6.43,6.463
2023-02-28 03:00:00,6.464,6.48,6.449,6.479
2023-02-28 04:00:00,6.479,6.479,6.43,6.45
2023-02-28 05:00:00,6.445,6.517,6.443,6.493
2023-02-28 06:00:00,6.49,6.5,6.477,6.495
2023-02-28 07:00:00,6.497,6.5,6.447,6.448
2023-02-28 08:00:00,6.447,6.495,6.428,6.49
